,p_id
0,B0029Z8KCY
1,B00004CQT3
2,B00004CQT4
3,B000009DX2
4,B0071AD95K
5,B000NDFLWG
6,B008FPU7AA
7,0790747324
8,B0001G6PZC
9,630396835X
10,B0052IGM02
11,B0070225F4
12,6300157423
13,B000OIOSF6
14,1562229567
15,1888617047
16,B002OHDRF2
17,B000OIOSFG
18,B00097E6NQ
19,B000056PNB
20,B001CCMLR0
21,B004BH1TN0
22,6300147967
23,6303593542
24,B00004CQTP
25,630436119X
26,B0050QNO2K
27,6305508569
28,B0001WTVJ8
29,6304474415
30,B000CDSS86
31,B0036Q2RR4
32,B0006FFRD4
33,B000F9T6ZG
34,6305441286
35,B0000060T0
36,6303257933
37,B0006MYXSW
38,1593090226
39,B003BUAP10
40,630187837X
41,B0036BDQ38
42,6304286961
43,6302139724
44,B0002BO0V2
45,B000063W82
46,B000BB1NFO
47,B000056PNQ
48,0944049117
49,6304276958
50,B0001BMMEA
51,B00020HBN2
52,B000XEDVEA
53,6305949816
54,B00005226S
55,B000GAKJXM
56,630021625X
57,B00173DYLQ
58,B000056PNV
59,B00096S43U
60,B00020HBNW
61,B00022VM5S
62,B000SKO8DC
63,B00096S43K
64,B00022VM5I
65,B00096S43A
66,B00020HBNC
67,B002KBG4TS
68,B001Q94TQ0
69,B0012EM5GK
70,B0002V7TJM
71,B0002V7TJC
72,B0000060TP
73,6300213153
74,B0006FFRDE
75,B000MRA54M
76,6302760046
77,6301173147
78,B00004R7CH
79,B006FYGF8Q
80,B00000HF15
81,6301661869
82,B0006FFRDO
83,B0002V7TJW
84,B001I7HLTW
85,B0002EJ87U
86,B00005952J
87,B00062IZGI
88,B00284EM3M
89,B000CNET2A
90,B003QWVPTE
91,B0085KGGLY
92,B00005952Q
93,B000CNET2K
94,B00284EM3C
95,B0030FT96S
96,B00000IC80
97,B00000IC82
98,B00000IC83
99,B00000IC84
100,B00000IC87
101,B00000IC89
102,B0048KQQC4
103,B000FVQLQQ
104,B0030ZOYW2
105,6300246299
106,B002CWKTZA
