,p_id
0,0001489305
1,0001516035
2,0001517791
3,0001526863
4,000500005X
5,0005004101
6,000500411X
7,0005019222
8,0005019281
9,0005019486
10,0005041104
11,000504846X
12,0005048524
13,0005054885
14,0005055121
15,0005059836
16,0005089549
17,0005092663
18,0005097258
19,0005114365
20,0005119340
21,0005119359
22,0005119367
23,0005123909
24,0005123968
25,0005138620
26,0005165687
27,0005166004
28,0005200237
29,0005200245
30,0005200288
31,0005235049
32,0005253446
33,0005253500
34,0005257832
35,0005257859
36,0005257891
37,0005349559
38,0005419263
39,0005445825
40,000547700X
41,0006175813
42,0006486576
43,0006588204
44,0006714617
45,0006728243
46,0006729967
47,0006886558
48,0072560924
49,0073027340
50,0073029025
51,0073206288
52,0073221945
53,0073357928
54,0073357979
55,0073360945
56,013091133X
57,0130912085
58,0131182722
59,0138827966
60,0159505100
61,0194592391
62,0194592405
63,0194592715
64,0194593711
65,0194593940
66,0307141071
67,0307141128
68,0307141217
69,030714142X
70,0307141462
71,0307141497
72,0307141950
73,0307141985
74,0307142450
75,0307142469
76,0307142477
77,0307142485
78,0307142493
79,0307142671
80,0307142752
81,0307142795
82,030714285X
83,0307143155
84,0307143163
85,0307143619
86,0307143627
87,0307554015
88,0307731464
89,031020559X
90,0310242398
91,0310242444
92,0310244056
93,0310250056
94,0310250064
95,0310250072
96,0310252423
97,0310256003
98,0310256542
99,0310256844
100,0310257158
101,0310257883
102,0310257964
103,0310261783
104,0310261791
105,0310261899
106,0310263670
107,0310266378
108,0310267358
109,0310269326
110,0310269458
111,0310269873
112,0310269881
113,0310271193
114,0310271746
115,0310271908
116,0310271932
117,0310271967
118,0310272971
119,0310274281
120,0310275253
121,0310276837
122,0310278899
123,0310278910
124,0310279623
125,0310279690
126,0310280761
127,0310280796
128,0310282470
129,0310285062
130,0310285569
131,0310286875
132,0310287642
133,0310290740
134,031029116X
135,0310291208
136,0310291445
137,0310292956
138,0310292964
139,0310292972
140,031032078X
141,0310322065
142,0310322197
143,0310324173
144,0310324181
145,0310324386
146,0310324424
147,0310325358
148,0310326850
149,0310327660
150,0310328233
151,0310328241
152,0310328683
153,031032937X
154,0310329396
155,0310329450
156,0310329523
157,0310329795
158,0310329825
159,0310329841
160,0310329922
161,0310396336
162,0310396867
163,0310397030
164,0310399017
165,0310413710
166,0310427754
167,0310582792
168,0310671345
169,0310671469
170,031067154X
171,0310678641
172,0310678668
173,0310679125
174,0310682983
175,0310683750
176,031068787X
177,031068871X
178,0310702763
179,0310705657
180,0310705940
181,0310705967
182,0310716268
183,0310890853
184,0310892147
185,0310892627
186,0310892910
187,0310894867
188,0310942136
189,032134250X
190,0321636937
191,0321647041
192,0321680138
193,0323056946
194,0323077986
195,032501051X
196,0333916492
197,0375801693
198,0375810250
199,0375810331
200,0394830741
201,0395975905
202,0399226249
203,0439339871
204,043933988X
205,0439358000
206,0439696917
207,0439725283
208,0439725313
209,0439725348
210,043983791X
211,0470184728
212,0471103381
213,0495098825
214,0504749331
215,0510539610
216,0521601886
217,0521613442
218,0563228008
219,0563392665
220,0570023106
221,0570023114
222,0570088933
223,0578000601
224,0578002019
225,0578009927
226,0578045427
227,0578046725
228,0578047861
229,0590522299
230,0590582380
231,0615111017
232,0615111114
233,0615113648
234,0615115896
235,0615117120
236,0615118240
237,0615122434
238,0615172083
239,0615181848
240,0615195555
241,0615212050
242,061522072X
243,061524226X
244,0615254721
245,0615255868
246,061526865X
247,0615270778
248,0615274641
249,0615278094
250,0615278108
251,0615290183
252,061529118X
253,061530091X
254,0615336132
255,0615344216
256,0615353789
257,0615385656
258,0615386814
259,0615399398
260,0615422853
261,0615445055
262,061544721X
263,0615453759
264,0615470890
265,0615476988
266,0615489958
267,0615543537
268,0615544703
269,0615624987
270,0618250972
271,061829208X
272,0618347771
273,0618394524
274,0618401369
275,0618449213
276,0618496076
277,0618501878
278,0618528040
279,0618611401
280,061864198X
281,0618643419
282,0618693262
283,0634009311
284,0634023330
285,0634029266
286,0634069845
287,067985066X
288,0679884815
289,0679884831
290,0679884858
291,0679884874
292,0679887660
293,0679887679
294,0679891471
295,0687654742
296,0687656842
297,0697098885
298,0718000021
299,0718000048
300,0718000080
301,0718000099
302,0718000218
303,0718000315
304,0718000358
305,0718009223
306,0736000879
307,0736001905
308,0736001921
309,073600193X
310,0736001980
311,0736037195
312,0736046925
313,0736051546
314,0736060138
315,0736060235
316,0736060251
317,0736060278
318,0736060286
319,0736060308
320,0736060316
321,0736060324
322,0736062564
323,0736065253
324,073606754X
325,0736069917
326,0736069925
327,0736073647
328,0736096744
329,0736915842
330,0736922628
331,0736925856
332,0736928456
333,0736928936
334,0736929002
335,0736929045
336,0736930485
337,0736938397
338,0736939288
339,0736943676
340,0738900060
341,0738900079
342,073890015X
343,0738900362
344,0738900370
345,0738900664
346,0738919012
347,0738919039
348,073891908X
349,0738919098
350,0738920061
351,0738920207
352,0738920215
353,0738920320
354,0738920339
355,0738920363
356,0738920371
357,0738920401
358,0738920444
359,0738920479
360,0738920487
361,0738920495
362,0738920533
363,0738920630
364,0738920754
365,0738920762
366,0738920770
367,0738920916
368,0738920967
369,0738921076
370,0738921289
371,0738921297
372,0738921351
373,0738921378
374,0738921440
375,0738921475
376,0738921505
377,0738921610
378,0738921629
379,0738921696
380,0738921939
381,0738921947
382,0738921963
383,0738921971
384,0738934186
385,0739008196
386,0739033980
387,0739040308
388,0739040375
389,073904138X
390,0739042203
391,0739042319
392,0739044389
393,073904852X
394,0739050591
395,0739051148
396,0739051210
397,0739054082
398,0739054171
399,0739055186
400,0739055194
401,0739055216
402,0739055224
403,0739056220
404,0739056255
405,0739056530
406,0739060449
407,073906147X
408,0739068369
409,0739075934
410,0739600443
411,0740309498
412,0740310712
413,0740312618
414,0740312626
415,0740312650
416,0740312677
417,0740312685
418,0740312693
419,074031274X
420,0740312758
421,0740312766
422,0740312774
423,0740312782
424,0740312901
425,0740314564
426,0740316591
427,0740316869
428,0740318543
429,0740318764
430,0740318896
431,0740318934
432,0740318942
433,0740318950
434,0740318977
435,0740319094
436,0740319116
437,0740319140
438,0740319191
439,0740321838
440,0741100746
441,0741100754
442,0741100843
443,0741100924
444,0741100967
445,0746893531
446,0756623685
447,0756623715
448,075662827X
449,0757919324
450,0757990290
451,0757996140
452,0760102996
453,0760103496
454,076011157X
455,0760113858
456,0760133905
457,076013393X
458,0760133956
459,0760339740
460,0761976310
461,0762709960
462,0764000381
463,0764000446
464,0764000810
465,0764000829
466,0764000926
467,0764000934
468,0764000942
